"1.Online Ticket Sold"
"Early Bird","215","Rs 32250"
"Regular Bird","153","Rs 52020"
"Late Bird","67","Rs 29480"
"Total:","435","Rs 113750/-"
"2. Discounts"
"Early Bird - CODE","7","Rs 700"
"Regular Bird - GROUP","28","Rs 1400"
"Late Bird - FLAT","174","Rs 5220"
"Late Bird - CODE","133","Rs 9310"
"Total:","342","Rs 16630/-"
"3. Refunds & Cancellation"
"Early Bird","21","Rs 2442.3"
"Regular Bird","14","Rs 1225"
"Late Bird","3","Rs 189.6"
"Total:","38","Rs 3856.9/-"
"4. Manual Tickets Sold"
"Early Bird","34","Rs 0"
"Regular Bird","22","Rs 0"
"Late Bird","43","Rs 0"
"Total:","99","Rs 0/-"
"5. Offline Tickets Sold"
"Early Bird","8","Rs 0"
"Regular Bird","37","Rs 0"
"Late Bird","62","Rs 0"
"Total:","107","Rs 0/-"
""
"Total Online Tickets Sold:","435","Rs 113750/-"
"Discounts:","","Rs -16630/-"
"Refunds &amp; Cancellation:","-38","Rs -3856.9/-"
"Net Online Tickets Sold:","397","Rs 109893.1/-"
"PG Fee(1.99%):","","Rs -2186.87/-"
"Townscript Fee(1.99% + Rs 10/ticket):","","Rs -6156.87/-"
"Net Earnings:","","Rs 101549.36/-"
